dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
WEING,weing2,101,iteration_end,5,11,109273,109273,True,2b55602320be1099,2b55602320be1099,True
WEING,weing2,101,iteration_end,5,12,105087,105087,True,b9a58fda395dae80,b9a58fda395dae80,True
WEING,weing2,101,iteration_end,5,13,104268,104268,True,de51aceac52a5374,de51aceac52a5374,True
WEING,weing2,101,iteration_end,5,14,101228,101228,True,5126e9a8d4f1c243,5126e9a8d4f1c243,True
WEING,weing2,101,iteration_end,5,15,98487,98487,True,f4e415883499d4aa,f4e415883499d4aa,True
WEING,weing2,101,iteration_end,5,16,89886,89886,True,9ad3aeaf93461575,9ad3aeaf93461575,True
WEING,weing2,101,iteration_end,5,17,86629,86629,True,1adc71113dda3485,1adc71113dda3485,True
WEING,weing2,101,iteration_end,5,18,85746,85746,True,98e30c232c19b527,98e30c232c19b527,True
WEING,weing2,101,iteration_end,5,19,82760,82760,True,d7f03fee3f1c1506,d7f03fee3f1c1506,True
WEING,weing2,101,iteration_end,6,0,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,6,1,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,6,2,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,6,3,129403,129403,True,e5c613a450b9dda4,e5c613a450b9dda4,True
WEING,weing2,101,iteration_end,6,4,128322,128322,True,56722821f673769d,56722821f673769d,True
WEING,weing2,101,iteration_end,6,5,127811,127811,True,9641e83f1f6d291e,9641e83f1f6d291e,True
WEING,weing2,101,iteration_end,6,6,123085,123085,True,b7760f5a175ccdef,b7760f5a175ccdef,True
WEING,weing2,101,iteration_end,6,7,122895,122895,True,327d91f9dffabc49,327d91f9dffabc49,True
WEING,weing2,101,iteration_end,6,8,120203,120203,True,2fa25967622debee,2fa25967622debee,True
WEING,weing2,101,iteration_end,6,9,118261,118261,True,21e76dd8d80d10db,21e76dd8d80d10db,True
WEING,weing2,101,iteration_end,6,10,114605,114605,True,8a289b418f8bbf29,8a289b418f8bbf29,True
WEING,weing2,101,iteration_end,6,11,113690,113690,True,292d83c980eae990,292d83c980eae990,True
WEING,weing2,101,iteration_end,6,12,113096,113096,True,72495e58b01b9c02,72495e58b01b9c02,True
WEING,weing2,101,iteration_end,6,13,112877,112877,True,33ca8e584fa4ad1e,33ca8e584fa4ad1e,True
WEING,weing2,101,iteration_end,6,14,111790,111790,True,07da76b01ba671e9,07da76b01ba671e9,True
WEING,weing2,101,iteration_end,6,15,108703,108703,True,c969840b78c298ef,c969840b78c298ef,True
WEING,weing2,101,iteration_end,6,16,99110,99110,True,33e483ec1597567c,33e483ec1597567c,True
WEING,weing2,101,iteration_end,6,17,95357,95357,True,30d6f99976f72135,30d6f99976f72135,True
WEING,weing2,101,iteration_end,6,18,67567,67567,True,d8ba4a722649c384,d8ba4a722649c384,True
WEING,weing2,101,iteration_end,6,19,65950,65950,True,f4791254a0ac89aa,f4791254a0ac89aa,True
WEING,weing2,101,iteration_end,7,0,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,7,1,129288,129288,True,d1797b7dfa78b5b1,d1797b7dfa78b5b1,True
WEING,weing2,101,iteration_end,7,2,128762,128762,True,d886f0c2ffef2003,d886f0c2ffef2003,True
WEING,weing2,101,iteration_end,7,3,127536,127536,True,eae12d2bbb16e6aa,eae12d2bbb16e6aa,True
WEING,weing2,101,iteration_end,7,4,122530,122530,True,78ec44a1b58a586c,78ec44a1b58a586c,True
WEING,weing2,101,iteration_end,7,5,121585,121585,True,acaf58ca9e9b5c4d,acaf58ca9e9b5c4d,True
WEING,weing2,101,iteration_end,7,6,121062,121062,True,12d453b38170aeb7,12d453b38170aeb7,True
WEING,weing2,101,iteration_end,7,7,120109,120109,True,680d6fa6562c9120,680d6fa6562c9120,True
WEING,weing2,101,iteration_end,7,8,117863,117863,True,36059b7d5732476e,36059b7d5732476e,True
WEING,weing2,101,iteration_end,7,9,117530,117530,True,bf3f76f3687b8ab4,bf3f76f3687b8ab4,True
WEING,weing2,101,iteration_end,7,10,117426,117426,True,57e6c3d324d872a3,57e6c3d324d872a3,True
WEING,weing2,101,iteration_end,7,11,115358,115358,True,6a09264b3bc32324,6a09264b3bc32324,True
WEING,weing2,101,iteration_end,7,12,113137,113137,True,c1a5adee22fb7881,c1a5adee22fb7881,True
WEING,weing2,101,iteration_end,7,13,113107,113107,True,d416d4db878ecc21,d416d4db878ecc21,True
WEING,weing2,101,iteration_end,7,14,109023,109023,True,680d5ed8f541bb59,680d5ed8f541bb59,True
WEING,weing2,101,iteration_end,7,15,103123,103123,True,f9214d46fede143f,f9214d46fede143f,True
WEING,weing2,101,iteration_end,7,16,102153,102153,True,9d54726f56943003,9d54726f56943003,True
